f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"134,725055","-89,56","5,703","5,829","0,4073","132,943386"
"133,042746","71,98","5,898","5,804","0,306","132,943386"
"133,067416","71,81","5,883","5,78","0,2989","132,943386"
"133,00026","71,76","5,885","5,888","0,2921","132,943386"
"132,971437","70,63","5,9","5,897","0,2918","132,943386"
"133,194315","69,91","5,893","5,9","0,2922","132,943386"
"133,185519","70,22","5,894","5,9","0,2923","132,943386"
"139,232527","39,45","4,287","4,677","0,6215","132,943386"
"135,89414","89,87","5,792","4,604","0,5074","132,943386"
"135,48666","-142,22","4,934","5,867","0,2883","132,943386"
"133,102923","68,73","5,809","5,779","0,3005","132,943386"
"133,133367","72,92","5,856","5,799","0,3033","132,943386"
"133,002416","70,73","5,869","5,863","0,2933","132,943386"
"132,970697","70,62","5,9","5,897","0,2918","132,943386"
"141,806953","96,73","5,028","3,545","0,2737","132,943386"
"138,971869","9,38","5,872","4,505","0,3612","132,943386"
